LSOA11CD,total_length_meters_2011,length_meters_2020
E01002572,669.1,1190.6
E01002575,229.8,886.6
E01002576,4.3,219.1
E01002580,25.5,320.8
E01002582,22.9,349.9
E01002583,1735.9,2096.9
E01002584,434.4,947.9
E01002585,466.6,1179.4
E01002586,207.5,803.5
E01002587,9.8,1849.2
E01002590,1.5,488.3
E01002596,509.1,1450.2
E01002598,239.1,78.5
E01002599,70.5,52.9
E01002603,653.7,345.1
E01002604,341.7,1956.3
E01002605,184.7,360.3
E01002610,168.1,1892.8
E01002614,515.0,399.2
E01002616,182.5,278.8
E01002618,44.3,32.5
E01002621,851.0,1177.3
E01002622,810.5,954.4
E01002623,1163.6,1214.6
E01002628,387.8,476.3
E01002629,527.3,734.7
E01002630,300.3,965.4
E01002631,344.9,347.4
E01002633,1249.2,1365.4
E01002635,977.3,1041.6
E01002637,2118.1,2296.5
E01002638,200.2,210.6
E01002642,23.8,23.8
E01002645,11.0,27.3
E01002648,41.2,58.9
E01002652,248.4,248.4
E01002658,1.5,31.7
E01002662,117.0,96.1
E01002664,46.0,185.0
E01002674,289.0,316.9
E01002675,78.3,81.5
E01002676,1102.9,1126.5
E01002678,1456.8,4119.5
E01002679,1999.1,2789.8
E01002680,871.8,904.6
E01002684,1269.3,1622.3
E01002686,85.1,414.4
E01002687,3.1,728.7
E01002692,45.1,1668.5
E01002693,5.1,5.0
E01002694,162.4,154.8
E01002695,95.7,293.4
E01002696,426.6,213.2
E01002697,298.5,313.2
E01002698,205.1,0
E01002699,16.4,16.8
E01002700,329.1,211.8
E01002704,474.1,802.8
E01002706,40.3,197.6
E01002707,14.9,320.8
E01002708,48.6,279.7
E01002710,413.7,520.6
E01002711,408.1,799.5
E01002714,29.4,46.4
E01002716,108.5,98.9
E01002718,3.8,3.8
E01002719,74.3,77.3
E01002720,55.9,37.5
E01002724,111.0,1239.0
E01002725,5.7,518.2
E01002726,80.3,1135.4
E01002727,114.8,116.0
E01002728,291.1,537.4
E01002729,170.6,328.6
E01002730,20.8,75.3
E01002733,40.7,26.6
E01002734,34.9,249.1
E01002735,158.8,296.7
E01002738,216.4,289.2
E01002739,449.2,488.3
E01002740,103.3,257.5
E01002745,271.6,244.2
E01002748,488.8,92.5
E01002751,42.0,200.5
E01002753,15.2,1004.4
